,Title,Artist,Lyrics
597,Yahweh Se Manifestará (part. Julliany Souza e Léo Brandão),Marcos Freire,"Yahweh, Rafah
Elohim, Shaddai
Jireh, Adonai
Se manifestará
Sentimos Tua glória neste lugar
Algo grande acontecerá
Se ativa o sobrenatural
Sentimos Sua glória neste lugar
Algo grande acontecerá
Se ativa o sobrenatural
Yahweh, Rafah
Elohim, Shaddai
Jireh, Adonai
Se manifestará
Yahweh, Rafah
Elohim, Shaddai
Jireh, Adonai
Se manifestará
Sentimos Tua glória neste lugar
Algo grande acontecerá
Se ativa o sobrenatural
Yahweh, Rafah
Elohim, Shaddai
Jireh, Adonai
Se manifestará
Yahweh, Rafah
Elohim, Shaddai
Jireh, Adonai
Se manifestará
Ele é Yahweh, o Eu Sou
Aquele que criou tudo
Ele é Rafah, o Deus que cura
Ele é Elohim, El Shadai
Ele é poderoso, poderoso
Oh, Ele é Senhor, Ele é Adonai
Levantamos o Seu nome
Levantamos o Seu nome
Levantamos o Seu nome
Se manifeste em nosso meio
E agora Ele invade o teu ambiente
Ele invade o teu banheiro, o teu quarto, o teu carro
Yahweh, o Deus que cura
Deus provedor
Ele se move de toda glória
Seja cheio do Espírito
Porque não será de glória maior o mistério do Espírito Santo
Seja cheio, cheio
Manifeste-se, Yahweh
Manifeste-se
Se adorarmos, Deus se manifestará
Se clamarmos, Deus se manifestará
Se buscarmos, Deus se manifestará
Eu creio
Se adorarmos, Deus se manifestará
Se clamarmos, Deus se manifestará
Se buscarmos, Deus se manifestará
Se adorarmos, Deus se manifestará
Se clamarmos, Deus se manifestará
Se buscarmos, Deus se manifestará
Eu creio
Se adorarmos, Deus se manifestará
Se clamarmos, Deus se manifestará
Se buscarmos, Deus se manifestará
Yahweh se manifestará
Jireh se manifestará
Rafah se manifestará
Se manifestará (Yahweh)
Yahweh se manifestará
Jireh se manifestará
Rafah se manifestará
Se manifestará
Yahweh se manifestará
Jireh se manifestará
Rafah se manifestará
Se manifestará
Yahweh se manifestará
Jireh se manifestará
Rafah se manifestará
Se manifestará
Yahweh, Rafah
Elohim, Shaddai
Jireh, Adonai
Se manifestará
Yahweh, Rafah
Elohim, Shaddai
Jireh, Adonai
Se manifestará"
598,Counting My Blessings,Seph Schlueter,"It's like it was yesterday
I was praying for a miracle
Scared to have a little hope
And now looking back today
Seeing all the things You've done
I can't even add them up
One, two, three
Up to infinity
I'd run out of numbers
Before I could thank You for everything
God, I'm still counting my blessings
All that You've done in my life
The more that I look in the details
The more of Your goodness I find
Father, on this side of Heaven
I know that I'll run out of time
But I will keep counting my blessings
Knowing I can't count that high
And I know that seasons never last forever
So, God, I will remember all of the reasons
My heart has to be grateful
All the times You have been faithful to me
God, I'm still counting my blessings
All that You've done in my life
The more that I look in the details
The more of Your goodness I find
Father, on this side of Heaven
I know that I'll run out of time
But I will keep counting my blessings
Knowing I can't count that high
Oh, I can't count that high (high)
Oh, oh, oh, oh (high)
Oh, Your goodness, Your goodness
One, two, three
Up to infinity
I'd run out of numbers
Before I could thank You for everything
God, I'm still counting my blessings
All that You've done in my life (oh)
The more that I look in the details (in the details)
The more of Your goodness I find (oh)
Father, on this side of Heaven
I know that I'll run out of time (oh)
But I will keep counting my blessings
Knowing I can't count that high (high)
I will keep counting my blessings
Knowing I can't count that high"
599,Anchor,Novo Amor,"Took the breath from my open mouth
Never known how it broke me down
I went in circles somewhere else
Shook the best when your love was home
Store up on your summer glow
You went in search of someone else
And I hear your ship is coming in
Your tears a sea for me to swim
And I hear a storm is coming in
My dear, is it all we've ever been?
Caught the air in your woven mouth
Leave it all, I'll be hearing how you went
In search of someone else
They taught the hand that taut the bride
Both our eyes lock to the tide
We went in circles somewhere else
And I hear your ship is coming in
Your tears a sea for me to swim
And I hear a storm is coming in
My dear, is it all we've ever been?
Anchor up to me, love
Anchor up to me, love
Anchor up to me, love
Oh, anchor up to me
My love, my love, my love"
600,It's My Life,Bon Jovi,"This ain't a song for the broken-hearted
No silent prayer for faith-departed
I ain't gonna be just a face in the crowd
You're gonna hear my voice when I shout it out loud
It's my life, it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) my heart is like an open highway
Like Frankie said: I did it my way
I just wanna live while I'm alive
It's my life
This is for the ones who stood their ground
For Tommy and Gina who never backed down
Tomorrow's getting harder, make no mistake
Luck ain't even lucky, got to make your owns breaks
It's my life, it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) my heart is like an open highway
Like Frankie said: I did it my way
I just wanna live while I'm alive
'Cause it's my life
Better stand tall when they're calling you out
Don't bend, don't break, baby, don't back down
It's my life, it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) my heart is like an open highway
Like Frankie said: I did it my way
I just wanna live while I'm alive
It's my life
It's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) my heart is like an open highway
Like Frankie said: I did it my way
I just wanna live while I'm alive
It's my life"
601,Starboy (feat. Daft Punk),The Weeknd,"(Ayy)
I'm tryna put you in the worst mood, ah
P1 cleaner than your church shoes, ah
Milli' point two just to hurt you, ah
All red Lamb just to tease you, ah
None of these toys on lease too, ah
Made your whole year in a week too, ah
Main bitch outta your league too, ah
Side bitch outta your league too, ah
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
Every day a nigga try to test me, ah
Every day a nigga try to end me, ah
Pull off in that Roadster SV, ah
Pockets overweight, gettin' hefty, ah
Comin' for the king, that's a far cry, I
I come alive in the fall time, I
The competition, I don't really listen
I'm in the blue Mulsanne, bumpin' New Edition
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
Let a nigga brag Pitt
Legend of the fall, took the year like a bandit
Bought mama a crib and a brand new Wagon
Now she hit the grocery shop lookin' lavish
Star Trek roof in that Wraith of Khan
Girls get loose when they hear this song
A hundred on the dash get me close to God
We don't pray for love, we just pray for cars
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy"
602,Lover,Taylor Swift,"We could leave the Christmas lights up till January
This is our place, we make the rules
And there's a dazzling haze, a mysterious way about you, dear
Have I known you 20 seconds or 20 years?
Can I go where you go?
Can we always be this close, forever and ever?
And ah, take me out, and take me home
You're my, my, my, my
Lover
We could let our friends crash in the living room
This is our place, we make the call
And I'm highly suspicious that everyone who sees you wants you
I've loved you three summers now, honey, but I want 'em all
Can I go where you go?
Can we always be this close, forever and ever?
And ah, take me out, and take me home (forever and ever)
You're my, my, my, my
Lover
Ladies and gentlemen, will you, please, stand?
With every guitar string scar on my hand
I take this magnetic force of a man to be my lover
My heart's been borrowed and yours has been blue
All's well that ends well to end up with you
Swear to be overdramatic and true to my lover
And you'll save all your dirtiest jokes for me
And at every table, I'll save you a seat, lover
Can I go where you go?
Can we always be this close, forever and ever?
And ah, take me out, and take me home (forever and ever)
You're my, my, my, my
Oh, you're my, my, my, my
Darling, you're my, my, my, my
Lover"
603,Bad Liar,Imagine Dragons,"Oh, hush, my dear, it's been a difficult year
And terrors don’t prey on innocent victims
Trust me, darlin', trust me, darlin'
It’s been a loveless year
I'm a man of three fears
Integrity, faith and crocodile tears
Trust me, darlin', trust me, darlin'
So look me in the eyes
Tell me what you see
Perfect paradise
Tearing at the seams
I wish I could escape it
I don't want to fake it
I wish I could erase it
Make your heart believe
But I'm a bad liar
Bad liar
Now you know
Now you know
I'm a bad liar
Bad liar
Now you know
You're free to go
Did all my dreams never mean one thing?
Does happiness lie in a diamond ring?
Oh, I’ve been asking
Oh, I’ve been asking for problems, problems, problems
I wage my war on the world inside
I take my gun to the enemy's side
Oh, I’ve been asking (trust me, darlin')
Oh, I've been asking for problems, problems, problems (trust me, darlin')
So look me in the eyes
Tell me what you see
Perfect paradise
Tearing at the seams
I wish I could escape it
I don’t want to fake it
I wish I could erase it
Make your heart believe
But I'm a bad liar
Bad liar
Now you know
Now you know
I'm a bad liar
Bad liar
Now you know
You're free to go
I can't breathe
I can't be
I can't be what you want me to be
Believe me this one time, believe me
I'm a bad liar
Bad liar
Now you know
Now you know
I'm a bad liar
Bad liar
Now you know
You're free to go
Please, believe me
Please, believe me"
604,Somebody That I Used To Know (feat. Kimbra),Gotye,"Now and then I think of when we were together
Like when you said you felt so happy you could die
I told myself that you were right for me
But felt so lonely in your company
But that was love and it's an ache I still remember
You can get addicted to a certain kind of sadness
Like resignation to the end, always the end
So when we found that we could not make sense
Well, you said that we would still be friends
But I'll admit that I was glad it was over
But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough
No, you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know
Now you're just somebody that I used to know
Now you're just somebody that I used to know
Now and then I think of all the times you screwed me over
But had me believing it was always something that I'd done
But I don't wanna live that way
Reading into every word you say
You said that you could let it go
And I wouldn't catch you hung up on somebody that you used to know
But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough
No, you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know
Somebody (I used to know)
Somebody (now you're just somebody that I used to know)
Somebody (I used to know)
Somebody (now you're just somebody that I used to know)
(I used to know)
(That I used to know)
(I used to know)
Somebody"
605,Voilà,Barbara Pravi,"Écoutez moi, moi la chanteuse à demi
Parlez de moi, à vos amours, à vos amis
Parler leur de cette fille
Aux yeux noirs et de son rêve fou
Moi c'que j'veux c'est écrire
Des histoires qui arrivent jusqu'à vous
C'est tout
Voilà, voilà, voilà, voilà qui je suis
Me voilà même si mise à nue j'ai peur, oui
Me voilà dans le bruit et dans le silence
Regardez moi, ou du moins ce qu'il en reste
Regardez moi, avant que je me déteste
Quoi vous dire, que les lèvres d'une autre ne vous diront pas
C'est peu de chose mais moi tout ce que j'ai
Je le dépose là, voilà
Voilà, voilà, voilà, voilà qui je suis
Me voilà même si mise à nue c'est fini
C'est ma gueule, c'est mon cri, me voilà tant pis
Voilà, voilà, voilà, voilà juste ici
Moi, mon rêve, mon envie, comme j'en crève, comme j'en ris
Me voilà dans le bruit et dans le silence
Ne partez pas, j'vous en supplie, restez longtemps
Ça m'sauvera peut-être pas, non
Mais faire sans vous j'sais pas comment
Aimez moi comme on aime un ami qui s'en va pour toujours
J'veux qu'on m'aime parce que moi
Je sais pas bien aimer mes contours
Voilà, voilà, voilà, voilà qui je suis
Me voilà même si mise à nue c'est fini
Me voilà dans le bruit et dans la fureur aussi
Regardez moi, enfin et mes yeux et mes mains
Tout c'que j'ai est ici, c'est ma gueule c'est mon cri
Me voilà, me voilà, me voilà
Voilà, voilà, voilà, voilà, voilà"
606,Blank Space,Taylor Swift,"Nice to meet you, where you been?
I could show you incredible things
Magic, madness, heaven, sin
Saw you there and I thought
Oh, my God, look at that face!
You look like my next mistake
Love's a game, wanna play?
New money, suit and tie
I can read you like a magazine
Ain't it funny? Rumors fly
And I know you heard about me
So hey, let's be friends
I'm dying to see how this one ends
Grab your passport and my hand
I can make the bad guys good for a weekend
So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name
Cherry lips, crystal skies
I could show you incredible things
Stolen kisses, pretty lies
You're the King, baby, I'm your Queen
Find out what you want
Be that girl for a month
Wait, the worst is yet to come, oh no
Screaming, crying, perfect storms
I can make all the tables turn
Rose garden filled with thorns
Keep you second guessing like
Oh, my God, who is she?
I get drunk on jealousy
But you'll come back each time you leave
'Cause, darling, I'm a nightmare dressed like a daydream
So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name
Boys only want love if it's torture
Don't say I didn't say, I didn't warn ya
Boys only want love if it's torture
Don't say I didn't say, I didn't warn ya
So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name"
607,Os Sonhos de Deus,Nani Azevedo,"Os sonhos de Deus são maiores que os meus
Ele vai fazer o melhor por mim
Ele vai além do que eu posso ver
Ele faz o que eu não posso fazer
Deus vai cumprir os Seus planos em mim
Ele vai fazer o que lhe apraz
Sou pequeno e falho, mas Ele é Deus
Ele só faz o melhor pelos Seus
Deus vai cumprir os Seus planos em mim
Ele vai fazer o que lhe apraz
Sou pequeno e falho, mas Ele é Deus
Ele só faz o melhor pelos Seus
Os sonhos de Deus são maiores que os meus
Ele vai fazer o melhor por mim
Ele vai além do que eu posso ver
Ele faz o que eu não posso fazer
Deus vai cumprir os Seus planos em mim
Ele vai fazer o que lhe apraz
Sou pequeno e falho, mas Ele é Deus
Ele só faz o melhor pelos Seus
Deus vai cumprir os Seus planos em mim
Ele vai fazer o que lhe apraz
Sou pequeno e falho, mas Ele é Deus
Ele só faz o melhor pelos Seus
Acredito sim, acredito sim
Acredito sim que Deus vai fazer
O impossível em meu viver
Acredito sim, acredito sim
Acredito sim que Deus vai fazer
O impossível em meu viver
O impossível Deus vai fazer
Acredito sim, acredito sim
Acredito sim que Deus vai fazer
O impossível em meu viver
Acredito sim, acredito sim
Acredito sim que Deus vai fazer
O impossível em meu viver
O impossível Deus vai fazer"
608,"Salmo 102 - O Senhor É Bondoso, Compassivo e Carinhoso",Canal Salmodiai (Salmodiai Ao Nosso Deus),"O Senhor é bondoso, compassivo e carinhoso
O Senhor é bondoso, compassivo e carinhoso
Bendize, ó minha alma, ao Senhor
E todo o meu ser Seu santo nome
Bendize, ó minha alma, ao Senhor
Não te esqueças de nenhum de Seus favores
O Senhor é bondoso, compassivo e carinhoso
Pois Ele te perdoa toda culpa
E cura toda a tua enfermidade
Da sepultura Ele salva a tua vida
E te cerca de carinho e compaixão
O Senhor é bondoso, compassivo e carinhoso
Não fica sempre repetindo as Suas queixas
Nem guarda eternamente o Seu rancor
Não nos trata como exigem nossas faltas
Nem nos pune em proporção às nossas culpas
O Senhor é bondoso, compassivo e carinhoso
Quanto os céus por sobre a terra se elevam
Tanto é grande o Seu amor aos que o temem
Quanto dista o nascente do poente
Tanto afasta para longe nossos crimes
O Senhor é bondoso, compassivo e carinhoso
O Senhor é bondoso, compassivo e carinhoso"
609,Único (part. Marco Telles),Florianópolis House Of Prayer (fhop music),"Veja, a vinda está tão perto
Prove, a paz não está tão longe
Cadê as sombras que nos seguiam?
Quebrou o cristal do nosso orgulho
Ao chão
Ao chão
Veja, a vida está tão perto
Prove, a paz não está tão longe
Cadê as sombras que nos seguiam?
Quebrou o cristal do nosso orgulho
Veja os tronos de outros reis
Dobrados ao chão
Até o meu coração se deu
Eita, tudo se rendeu
Quem não louvará?
Quem não temerá o Rei?
Veja os tronos de outros reis
Dobrados ao chão
Até o meu coração se deu
Eita, tudo se rendeu
Quem não louvará?
Quem não temerá o Rei?
Importa que Ele cresça
Maior que toda sombra que a gente projetou
Importa que Ele seja
O único Senhor
Importa que Ele cresça
Maior que toda sombra que a gente projetou
Importa que Ele seja
O único, o único, único Senhor
Veja os tronos de outros reis
Dobrados ao chão
Até o meu coração se deu
Eita, tudo se rendeu
Quem não louvará?
Quem não temerá o Rei?
Veja os tronos de outros reis
Dobrados ao chão
Até o meu coração se deu
Eita, tudo se rendeu
Quem não louvará?
Quem não temerá?
Veja os tronos de outros reis
Dobrados ao chão
Até o meu coração se deu
Eita, tudo se rendeu
Quem não louvará?
Quem não temerá o Rei?
Veja os tronos de outros reis
Dobrados ao chão
Até o meu coração se deu
Eita, tudo se rendeu
Quem não louvará?
Quem não temerá o Rei?
Importa que Ele cresça
Maior que toda sombra que a gente projetou
Importa que Ele seja
O único Senhor
Importa que Ele cresça
Maior que toda sombra que a gente projetou
Importa que Ele seja
O único Senhor
Veja os tronos de outros reis
Dobrados ao chão
Até o meu coração se deu
Eita, tudo se rendeu
Quem não louvará?
Quem não temerá o Rei?
Veja os tronos de outros reis
Dobrados ao chão
Até o meu coração se deu
Eita, tudo se rendeu
Quem não louvará?
Quem não temerá o Rei?"
610,Rompendo Em Fé,Comunidade Evangélica Internacional da Zona Sul,"Cada vez que a minha fé é provada
Tu me dás a chance de crescer um pouco mais
As montanhas e vales, desertos e mares
Que atravesso me levam para perto de Ti
Minhas provações não são maiores do que o meu Deus
E não vão me impedir de caminhar
Se diante de mim não se abrir o mar
Deus vai me fazer andar por sobre as águas
Rompendo em fé
Minha vida se revestirá do Teu poder
Rompendo em fé
Com ousadia, vou mover no sobrenatural
Vou lutar e vencer
Vou plantar e colher
A cada dia vou viver rompendo em fé
Cada vez que a minha fé é provada
Tu me dás a chance de crescer um pouco mais
As montanhas e vales, desertos e mares
Que atravesso me levam para perto de Ti
Minhas provações não são maiores do que o meu Deus
E não vão me impedir de caminhar
Se diante de mim não se abrir o mar
Deus vai me fazer andar por sobre as águas
Rompendo em fé
Minha vida se revestirá do Teu poder
Rompendo em fé
Com ousadia, vou mover no sobrenatural
Vou lutar e vencer
Vou plantar e colher
A cada dia vou viver rompendo em fé
Rompendo em fé
Minha vida se revestirá do Teu poder
Rompendo em fé
Com ousadia, vou mover no sobrenatural
Vou lutar e vencer
Vou plantar e colher
A cada dia vou viver rompendo em fé
Rompendo em fé
Minha vida se revestirá do Teu poder
Rompendo em fé
Com ousadia, vou mover no sobrenatural
Vou lutar e vencer
Vou plantar e colher
A cada dia vou viver rompendo em fé
A cada dia vou viver rompendo em fé
A cada dia vou viver rompendo em fé"
611,Save Your Tears,The Weeknd,"Ooh
Na na, yeah
I saw you dancing in a crowded room
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye
I don't know why I run away
I'll make you cry when I run away
You could've asked me why I broke your heart
You could've told me that you fell apart
But you walked past me like I wasn't there
And just pretended like you didn't care
I don't know why I run away
I'll make you cry when I run away
Take me back 'cause I wanna stay
Save your tears for another
Save your tears for another day
Save your tears for another day
So, I made you think that I would always stay
I said some things that I should never say
Yeah, I broke your heart like someone did to mine
And now you won't love me for a second time
I don't know why I run away, oh, girl
Said I'll make you cry when I run away
Girl, take me back 'cause I wanna stay
Save your tears for another
I realize that I'm much too late
And you deserve someone better
Save your tears for another day (ooh, yeah)
Save your tears for another day (yeah)
I don't know why I run away
I'll make you cry when I run away
Save your tears for another day, ooh, girl (ah)
I said save your tears for another day (ah)
Save your tears for another day (ah)
Save your tears for another day (ah)"
612,"O Que É, o Que É?",Gonzaguinha,"Eu fico com a pureza
Da resposta das crianças
É a vida, é bonita
E é bonita
Viver e não ter a vergonha
De ser feliz
Cantar, e cantar, e cantar
A beleza de ser um eterno aprendiz
Ah, meu Deus!
Eu sei, eu sei
Que a vida devia ser bem melhor
E será!
Mas isso não impede
Que eu repita
É bonita, é bonita
E é bonita
Viver e não ter a vergonha
De ser feliz
Cantar, e cantar, e cantar
A beleza de ser um eterno aprendiz
Ah, meu Deus!
Eu sei, eu sei
Que a vida devia ser bem melhor
E será!
Mas isso não impede
Que eu repita
É bonita, é bonita
E é bonita
E a vida, e a vida o que é?
Diga lá, meu irmão
Ela é a batida de um coração
Ela é uma doce ilusão
Êh! Ôh!
E a vida
Ela é maravilha ou é sofrimento?
Ela é alegria ou lamento?
O que é? O que é, meu irmão?
Há quem fale que a vida da gente
É um nada no mundo
É uma gota, é um tempo
Que nem dá um segundo
Há quem fale que é um divino
Mistério profundo
É o sopro do criador
Numa atitude repleta de amor
Você diz que é luta e prazer
Ele diz que a vida é viver
Ela diz que melhor é morrer
Pois amada não é e o verbo é sofrer
Eu só sei que confio na moça
E na moça eu ponho a força da fé
Somos nós que fazemos a vida
Como der, ou puder, ou quiser
Sempre desejada
Por mais que esteja errada
Ninguém quer a morte
Só saúde e sorte
E a pergunta roda
E a cabeça agita
Eu fico com a pureza
Da resposta das crianças
É a vida, é bonita
E é bonita
Viver e não ter a vergonha
De ser feliz
Cantar, e cantar, e cantar
A beleza de ser um eterno aprendiz
Ah, meu Deus!
Eu sei, eu sei
Que a vida devia ser bem melhor
E será!
Mas isso não impede
Que eu repita
É bonita, é bonita
E é bonita
Viver e não ter a vergonha
De ser feliz
Cantar, e cantar, e cantar
A beleza de ser um eterno aprendiz
Ah, meu Deus!
Eu sei, eu sei
Que a vida devia ser bem melhor
E será!
Mas isso não impede
Que eu repita
É bonita, é bonita
E é bonita
Viver e não ter a vergonha
De ser feliz
Cantar, e cantar, e cantar
A beleza de ser um eterno aprendiz
Ah, meu Deus!
Eu sei, eu sei
Que a vida devia ser bem melhor
E será!
Mas isso não impede
Que eu repita
É bonita, é bonita
E é bonita
Viver e não ter a vergonha
De ser feliz"
613,Sou Eu,Fabiana Anastácio,"Sou Eu
Quem fez o firmamento, tenho o controle do tempo
Dou a direção ao vento e digo ao mar
Daqui você não vai passar
Sou Eu quem manda o céu derramar chuva
Mando o dilúvio e a terra inunda
Pois tenho em minhas mãos todo o poder
Sou Eu
Quem abre porta, fecha porta
Abre cova, fecha cova
Põe na prova, tira prova e faço ressuscitar
Eu mando e por ninguém sou mandado
Sou Eu quem quebra lança e corta os laços
Para o meu povo livrar
Eu entro na fornalha e o fogo não me queima
Caminho sobre as águas tal como em terra seca
Acalmo a tempestade e o forte furacão
Com gritos e buzinas fiz muralha vir ao chão
Com apenas um sopro abri o mar ao meio
Faço voltar o tempo, sou Deus e tudo vejo
Quando entro nesta guerra é pra vencer
Em meu agir não há defeitos
Eu mando e desmando, Eu faço e desfaço
E quando entro em cena, quebro o arco e corto o laço
Queimo os carros no fogo, sou Deus de livramento
Acalme o coração e crê no que estou te dizendo
Estou passando, estou operando
Estou agindo e por ti trabalhando
Abrindo portas, fechando covas
Estou descendo hoje com tua vitória
Canta que Eu faço, ora que Eu trabalho
Faz a minha obra e esse mal desfaço
Podes contar comigo e crer no que Eu te digo
Sou Deus de livramento, sou fiel, sou teu amigo
Na tua vida Eu sou, na tua família Eu sou
Na tua saúde Eu sou, no teu futuro Eu sou
O teu sustento Eu sou, teu livramento Eu sou
Na causa impossível Eu sou o que sou
Estabeleço reis, também tiro do trono
Exalto o humilhado, dou honra a quem Eu chamo
Se for preciso, Eu entro nessa guerra e provo que você tem dono
Eu mando e desmando, Eu faço e desfaço
E quando entro em cena, quebro o arco e corto o laço
Queimo os carros no fogo, sou Deus de livramento
Acalme o coração e crê no que estou te dizendo
Estou passando, estou operando
Estou agindo e por ti trabalhando
Abrindo portas, fechando covas
Estou descendo hoje com tua vitória
Canta que Eu faço, ora que Eu trabalho
Faz a minha obra e esse mal desfaço
Podes contar comigo e crer no que Eu te digo
Sou Deus de livramento, sou fiel, sou teu amigo
Na tua vida Eu sou, na tua família Eu sou
Na tua saúde Eu sou, no teu futuro Eu sou
O teu sustento Eu sou, teu livramento Eu sou
Na causa impossível Eu sou o que sou
Estabeleço reis, também tiro do trono
Exalto o humilhado, dou honra a quem Eu chamo
Se for preciso, Eu entro nessa guerra e provo que você tem dono
Se for preciso, Eu entro nessa guerra e provo que você tem dono"
614,Pai Nosso (Our Father),Pedras Vivas,"Pai nosso nos Céus
Santo é o Teu nome
Teu reino buscamos
Tua vontade seja feita
Na terra, como é nos Céus
Deixe o Céu descer
Na terra, como é nos Céus
Deixe o Céu descer
Pai nosso nos Céus
Santo é o Teu nome
Teu reino buscamos
Tua vontade seja feita
Na terra, como é nos Céus
Deixe o Céu descer
Na terra, como é nos Céus
Deixe o Céu descer
Deixe o Céu descer
Deixe o Céu descer
Deixe o Céu descer
Oh, deixe o Céu descer
Deixe o Céu descer
Deixe o Céu descer
Deixe o Céu descer
Deixe o Céu descer
Rei dos reis, oh
Deixe o Céu descer
Teu é o reino
Teu, o poder
Tua é a glória
Pra sempre, amém
Teu é o reino
Teu, o poder
Tua é a glória
Pra sempre, amém
Teu é o reino
Teu, o poder
Tua é a glória
Pra sempre, amém
Teu é o reino
Teu, o poder
Tua é a glória
Pra sempre, amém
Teu é o reino
Teu, o poder (pra sempre, amém)
Tua é a glória
Pra sempre, amém (pra sempre, amém)
Pra sempre, amém
Pai nosso que estás nos Céus (pra sempre)
Santificado seja o Teu nome (pra sempre, amém)
Venha o Teu reino
Seja feita a Tua vontade
Assim na terra, aqui na Terra
Como nos Céus
Dá-nos hoje o nosso pão de cada dia
Sacia nossa fome
Perdoa as nossas dívidas
Assim como perdoamos aos nossos devedores
Assim como imitamos os Seus passos
Não nos deixes cair em tentação
Mas livra-nos do mal, livra-nos do mal
Porque Teu, somente Teu, totalmente Teu (pra sempre, amém)
É o reino, o reino e o poder (deixe o Céu descer)
E a glória, toda glória
Pra sempre, amém (pra sempre, amém)"
